,Gender,Mobile_Verified,Filled_Form,Device_Type,Var5
569,1,1,1,1,1
570,1,1,1,1,0
571,0,0,1,1,0
572,0,0,1,0,0
573,0,0,0,1,0
574,0,0,1,1,1
575,1,1,1,1,1
576,0,0,0,1,0
577,0,0,1,1,0
578,1,1,1,1,0
579,0,0,0,0,0
580,0,0,1,1,0
581,0,0,0,0,0
582,0,0,1,1,0
583,1,1,1,1,0
584,1,1,1,1,0
585,0,0,0,1,0
586,1,1,1,1,1
587,0,0,1,1,0
588,1,1,1,1,1
589,1,1,1,1,1
590,0,0,0,1,0
591,0,0,1,1,0
592,1,0,1,0,0
593,0,0,1,1,0
594,0,0,1,1,0
595,1,1,1,1,1
596,0,0,1,1,1
597,0,0,0,1,0
598,1,1,1,1,1
599,1,1,1,1,1
600,0,0,1,1,0
601,0,0,0,0,0
602,0,0,1,1,0
603,0,0,1,0,0
604,0,0,1,1,1
605,1,1,1,1,0
606,1,0,1,1,0
607,0,0,0,0,0
608,0,0,1,1,0
609,1,1,1,1,0
610,0,0,1,1,0
611,1,1,1,1,0
612,0,0,0,1,0
613,0,0,1,1,1
614,1,1,1,1,1
615,1,1,1,1,1
616,1,1,1,1,1
617,1,1,1,1,1
618,0,0,1,1,0
619,0,0,1,1,1
620,1,1,1,1,1
621,0,0,0,0,0
622,1,1,1,1,0
623,0,0,0,0,0
624,1,1,1,1,1
625,1,1,1,1,1
626,0,0,0,0,0
627,0,0,1,1,0
628,0,0,0,1,0
629,1,1,1,1,1
630,0,0,1,1,0
631,1,1,1,0,1
632,0,0,0,1,0
633,0,0,1,0,0
634,1,1,1,0,1
635,0,0,1,1,0
636,0,0,1,1,1
637,1,1,1,1,1
638,0,0,1,1,0
639,0,0,0,0,0
640,0,0,1,1,1
641,1,1,1,0,1
642,0,0,1,1,0
643,1,1,1,1,1
644,0,0,1,1,0
645,0,0,1,1,0
646,1,1,1,1,1
647,1,1,1,1,1
648,1,1,1,1,1
649,0,0,1,1,0
650,0,0,1,1,0
651,0,0,1,1,0
652,0,0,1,1,1
653,1,1,1,1,1
654,1,1,1,0,1
655,1,1,1,1,1
656,0,0,1,1,0
657,1,1,1,1,1
658,1,1,1,1,1
659,1,1,1,1,0
660,1,1,1,0,1
661,1,1,1,1,1
662,0,0,0,1,0
663,0,0,0,1,0
664,1,1,1,1,1
665,0,0,1,1,0
666,0,0,0,1,0
667,1,1,1,1,0
668,1,0,1,1,0
669,1,1,1,1,0
670,0,0,0,0,0
671,1,1,1,0,1
672,1,0,1,1,0
673,0,0,1,1,0
674,0,0,0,1,0
675,1,1,1,1,1
676,1,1,1,1,1
677,0,0,1,0,0
678,1,1,1,1,1
679,1,1,1,1,1
680,0,0,1,1,1
681,0,0,1,1,0
682,1,1,1,0,1
683,1,1,1,1,1
684,0,0,1,0,0
685,0,0,1,1,0
686,0,0,1,1,0
687,0,0,1,1,0
688,0,0,1,1,0
689,1,1,1,1,0
690,0,0,1,0,0
691,0,0,1,1,0
692,0,0,1,1,0
693,0,0,1,1,0
694,0,0,1,1,0
695,0,0,1,1,0
696,0,0,0,0,0
697,0,0,1,1,0
698,0,0,0,0,0
699,0,0,1,1,0
700,1,1,1,1,1
701,0,0,0,1,0
702,0,0,1,1,1
703,0,0,0,1,0
704,0,0,1,0,0
705,0,0,1,0,0
706,1,1,1,1,1
707,0,0,1,1,0
708,0,0,1,1,0
709,1,1,1,1,0
710,0,0,1,1,0
711,1,1,1,1,1
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,1,1,0
715,0,0,1,1,0
716,0,0,0,1,0
717,0,0,1,1,0
718,0,0,1,1,0
719,0,0,0,0,0
720,0,0,0,1,0
721,0,0,1,0,0
722,0,0,1,1,0
723,0,0,1,1,0
724,0,0,1,1,0
725,0,0,0,0,0
726,1,1,1,0,1
727,0,0,1,1,0
728,0,0,1,1,1
729,0,0,1,1,0
730,0,0,1,1,1
731,0,0,1,1,0
732,1,0,1,1,0
733,1,0,1,1,0
734,0,0,1,1,0
735,1,1,1,1,0
736,1,1,1,0,1
737,0,0,0,0,0
738,0,0,1,1,0
739,0,0,1,1,0
740,1,0,1,1,0
741,1,0,0,0,0
742,0,0,0,0,0
743,1,1,1,1,1
744,1,1,1,1,1
745,0,0,1,0,0
746,0,0,0,0,0
747,0,0,1,1,0
748,1,1,1,1,1
749,0,0,0,1,0
750,0,0,1,1,1
751,0,0,1,0,0
752,0,0,1,1,0
753,0,0,0,1,0
754,0,0,1,1,0
755,0,0,1,0,0
756,0,0,1,1,0
757,0,0,0,0,0
758,1,1,1,1,1
759,1,1,1,1,0
760,1,1,1,0,1
761,0,0,1,0,0
762,1,0,1,1,0
763,1,0,1,1,0
764,0,0,1,0,0
765,1,1,1,1,1
766,1,1,1,0,1
767,1,1,1,1,1
768,1,1,1,0,1
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,1,1,0
772,1,1,1,1,1
773,0,0,1,0,0
774,1,1,1,1,0
775,1,0,1,1,0
776,1,1,1,1,1
777,1,1,1,0,1
778,0,0,1,1,0
779,1,1,1,1,1
780,0,0,0,1,0
781,0,0,0,0,0
782,0,0,1,1,0
783,0,0,1,0,0
784,1,0,1,1,0
785,0,0,0,0,0
786,0,0,1,1,0
787,1,1,1,0,1
788,1,1,1,1,0
789,0,0,1,1,0
790,1,0,1,1,0
791,0,0,1,1,0
792,1,1,1,1,0
793,1,1,1,1,1
794,0,0,1,1,0
795,0,0,0,0,0
796,0,0,1,1,0
797,0,0,1,0,0
798,0,0,1,1,0
799,0,0,0,1,0
800,1,1,1,1,1
801,0,0,1,1,0
802,1,1,1,1,1
803,0,0,1,1,0
804,0,0,1,1,0
805,0,0,1,1,0
806,0,0,1,1,0
807,1,1,1,1,1
808,1,1,1,1,1
809,0,0,1,1,0
810,0,0,1,1,0
811,1,0,1,1,0
812,1,1,1,1,1
813,0,0,0,1,0
814,1,1,1,1,1
815,1,1,1,0,1
816,0,0,1,0,0
817,1,1,1,1,0
818,0,0,1,0,0
819,0,0,1,1,0
820,0,0,0,1,0
821,0,0,0,0,0
822,0,0,0,0,0
823,0,0,1,0,0
824,0,0,1,0,0
825,0,0,1,1,1
826,0,0,1,1,1
827,0,0,0,1,0
828,0,0,0,0,0
829,0,0,1,1,0
830,0,0,0,1,0
831,0,0,0,1,0
832,0,0,0,0,0
833,1,1,1,1,1
834,0,0,1,0,0
835,1,1,1,0,1
836,1,1,1,1,1
837,1,1,1,1,1
838,1,1,1,1,0
839,1,1,1,1,1
840,0,0,1,1,1
841,1,1,1,0,1
842,0,0,1,1,0
843,0,0,1,1,0
844,0,0,1,1,0
845,1,1,1,1,1
846,1,1,1,0,1
847,1,0,1,1,0
848,1,1,1,0,1
849,0,0,1,1,0
850,0,0,0,1,0
851,1,1,1,1,0
852,0,0,1,0,0
853,1,1,1,0,1
854,0,0,0,1,0
855,1,1,1,0,1
856,1,1,1,1,1
857,1,1,1,0,1
858,0,0,0,0,0
859,0,0,0,1,0
860,0,0,0,1,0
861,1,1,1,1,1
862,0,0,1,1,1
863,1,0,1,1,0
864,1,1,1,0,1
865,0,0,1,0,1
866,0,0,1,1,0
867,1,1,1,1,1
868,1,1,1,0,1
869,0,0,1,1,0
870,0,0,1,1,0
871,1,1,1,0,1
872,1,1,1,1,1
873,0,0,0,1,0
874,1,1,1,1,1
875,0,0,1,1,0
876,1,1,1,1,1
877,1,1,1,1,1
878,0,0,1,1,0
879,0,0,0,1,0
880,1,1,1,0,1
881,1,1,1,1,1
882,0,0,1,1,0
883,0,0,1,1,1
884,0,0,1,1,0
885,1,1,1,1,1
886,0,0,0,1,0
887,0,0,1,1,0
888,0,0,0,1,0
889,1,0,1,1,0
890,0,0,0,1,0
891,0,0,1,0,0
892,1,0,1,0,0
893,0,0,1,1,0
894,0,0,0,1,0
895,0,0,1,1,1
896,0,0,0,0,0
897,1,1,1,1,1
898,1,1,1,1,1
899,0,0,1,1,0
900,1,1,1,0,1
901,0,0,1,0,0
902,0,0,0,0,0
903,0,0,1,1,0
904,1,0,1,1,0
905,1,1,1,1,1
906,1,1,1,1,1
907,0,0,1,1,1
908,1,1,1,1,1
909,1,1,1,1,0
910,1,1,1,1,0
911,0,0,1,1,0
912,1,0,0,0,0
913,1,1,1,1,0
914,0,0,0,0,0
915,0,0,0,1,0
916,1,1,1,1,1
917,0,0,1,1,0
918,1,1,1,1,0
919,0,0,0,1,0
920,0,0,1,1,0
921,1,0,0,1,0
922,0,0,0,0,0
923,0,0,1,0,0
924,1,1,1,1,1
925,0,0,1,0,0
926,1,0,1,1,0
927,1,1,1,1,1
928,0,0,0,0,0
929,1,1,1,1,1
930,0,0,0,0,0
931,1,0,0,1,0
932,1,1,1,1,1
933,1,1,1,1,1
934,0,0,1,0,0
935,0,0,1,1,0
936,0,0,1,1,0
937,0,0,0,0,0
938,0,0,0,0,0
939,0,0,1,1,0
940,0,0,0,1,0
941,1,1,1,1,1
942,1,0,0,1,0
943,1,1,1,0,1
944,0,0,1,0,0
945,1,1,1,1,1
946,0,0,0,1,0
947,0,0,1,0,0
948,1,1,1,1,0
949,0,0,0,1,0
950,1,0,1,1,0
951,0,0,1,1,0
952,1,1,1,1,0
953,0,0,1,1,0
954,0,0,1,1,0
955,1,1,1,1,1
956,0,0,1,1,0
957,0,0,1,1,0
958,0,0,1,1,0
959,0,0,0,1,0
960,1,1,1,0,1
961,0,0,1,1,1
962,1,1,1,0,1
963,1,1,1,1,1
964,0,0,0,1,0
965,0,0,0,1,0
966,1,1,1,1,1
967,0,0,0,0,0
968,0,0,1,0,0
969,1,1,1,1,1
970,0,0,1,1,0
971,1,1,1,0,1
972,0,0,0,0,0
973,0,0,1,1,1
974,0,0,1,1,0
975,0,0,1,1,0
976,0,0,0,0,0
977,1,1,1,0,1
978,0,0,1,1,0
979,0,0,0,1,0
980,0,0,1,1,0
981,1,1,1,1,0
982,0,0,1,1,0
983,1,1,1,1,1
984,0,0,0,1,0
985,1,1,1,1,1
986,0,0,0,1,0
987,1,1,1,1,1
988,1,1,1,1,1
989,1,1,1,1,1
990,1,1,1,1,1
991,0,0,1,1,0
992,1,0,1,1,0
993,1,1,1,1,1
994,0,0,1,1,0
995,0,0,1,1,0
996,0,0,1,1,0
997,1,1,1,1,1
998,0,0,1,1,0
999,0,0,0,0,0
1000,0,0,1,1,0
1001,1,0,0,0,0
1002,1,1,1,1,1
1003,0,0,0,1,0
1004,0,0,0,1,0
1005,1,1,1,1,1
1006,0,0,1,1,1
1007,1,1,1,1,0
1008,1,1,1,1,1
1009,0,0,0,0,0
1010,0,0,0,1,0
1011,0,0,1,1,0
1012,0,0,0,1,0
1013,0,0,1,1,0
1014,1,1,1,1,1
1015,1,1,1,1,1
1016,1,1,1,1,1
1017,1,1,1,1,1
1018,0,0,1,1,1
1019,1,1,1,1,1
1020,1,1,1,1,0
1021,1,1,1,0,1
1022,0,0,1,1,0
1023,0,0,1,1,0
1024,0,0,1,1,0
1025,0,0,1,1,0
1026,1,1,1,1,1
1027,0,0,1,1,0
1028,1,1,1,1,0
1029,0,0,1,0,0
1030,0,0,1,0,0
1031,0,0,0,0,0
1032,1,0,1,1,0
1033,0,0,0,0,0
1034,1,1,1,1,0
1035,0,0,1,0,0
1036,0,0,0,1,0
1037,0,0,0,1,0
1038,1,0,1,0,0
1039,1,1,1,1,1
1040,1,1,1,1,1
1041,0,0,1,1,1
1042,1,0,0,1,0
1043,0,0,1,1,0
1044,0,0,1,1,0
1045,0,0,1,0,0
1046,1,1,1,1,1
1047,0,0,0,0,0
1048,0,0,0,0,0
1049,1,1,1,1,1
1050,1,0,0,0,0
1051,0,0,1,1,1
1052,1,1,1,1,1
1053,0,0,0,1,0
1054,1,0,1,1,0
1055,0,0,1,1,0
1056,0,0,0,0,0
1057,1,1,1,1,1
1058,0,0,0,0,0
1059,1,1,1,1,1
1060,1,1,1,1,1
1061,0,0,1,1,0
1062,1,1,1,1,1
1063,1,1,1,0,1
1064,0,0,1,0,0
1065,1,0,1,1,0
1066,0,0,1,1,0
1067,0,0,1,1,0
1068,0,0,1,1,0
1069,1,1,1,1,1
1070,0,0,1,1,0
1071,0,0,1,0,0
1072,1,1,1,1,1
1073,0,0,1,0,0
1074,0,0,0,1,0
1075,0,0,1,1,0
1076,1,1,1,1,0
1077,1,0,1,1,0
1078,1,1,1,1,1
1079,0,0,0,1,0
1080,1,1,1,1,1
1081,1,1,1,1,1
1082,0,0,1,1,0
1083,1,0,1,1,0
1084,1,1,1,1,1
1085,1,1,1,1,1
1086,0,0,1,0,0
1087,0,0,1,1,0
1088,0,0,1,1,0
1089,0,0,1,0,0
1090,0,0,1,0,0
1091,1,1,1,1,1
1092,0,0,1,1,0
1093,1,1,1,1,1
1094,0,0,0,0,0
1095,0,0,1,1,0
1096,0,0,0,0,0
1097,1,0,1,1,0
1098,1,1,1,1,1
1099,0,0,0,0,0
1100,1,1,1,1,1
1101,0,0,1,1,0
1102,0,0,1,1,0
1103,1,1,1,0,1
1104,0,0,0,1,0
1105,0,0,1,1,0
1106,0,0,1,0,0
1107,1,0,0,0,0
1108,0,0,0,0,0
1109,0,0,1,1,1
1110,0,0,1,1,0
1111,0,0,1,1,0
1112,0,0,1,0,0
1113,1,0,0,0,0
1114,0,0,1,1,0
1115,0,0,1,0,0
1116,1,1,1,1,1
1117,0,0,1,1,0
1118,1,1,1,1,1
1119,0,0,1,1,0
1120,0,0,1,1,0
1121,0,0,1,0,0
1122,0,0,0,1,0
1123,0,0,1,1,1
1124,1,1,1,1,1
1125,0,0,0,1,0
1126,1,1,1,1,1
1127,0,0,0,1,0
1128,0,0,1,1,0
1129,1,1,1,0,1
1130,0,0,1,1,0
1131,0,0,1,1,0
1132,1,1,1,1,1
1133,1,1,1,0,1
1134,1,1,1,1,1
1135,1,0,0,1,0
1136,1,0,1,1,0
1137,0,0,1,1,1
1138,1,1,1,0,1
1139,0,0,0,0,0
1140,0,0,1,1,1
1141,0,0,0,0,0
1142,1,1,1,1,1
1143,0,0,0,1,0
1144,1,1,1,1,1
1145,0,0,1,1,0
1146,0,0,0,0,0
1147,0,0,1,0,0
1148,0,0,1,1,0
