,Age
343,29.0
344,32.0
345,36.0
346,48.0
347,47.0
348,55.0
349,33.0
350,28.0
351,30.0
352,40.0
353,37.0
354,26.0
355,47.0
356,42.0
357,26.0
358,26.0
359,31.0
360,32.0
361,28.0
362,33.0
363,35.0
364,30.0
365,25.0
366,20.0
367,34.0
368,24.0
369,41.0
370,29.0
371,25.0
372,37.0
373,32.0
374,29.0
375,22.0
376,26.0
377,25.0
378,32.0
379,21.0
380,31.0
381,24.0
382,27.0
383,25.0
384,26.0
385,39.0
386,40.0
387,40.0
388,33.0
389,24.0
390,32.0
391,24.0
392,21.0
393,32.0
394,33.0
395,23.0
396,35.0
397,24.0
398,34.0
399,27.0
400,27.0
401,51.0
402,27.0
403,30.0
404,26.0
405,29.0
406,30.0
407,28.0
408,25.0
409,42.0
410,28.0
411,36.0
412,23.0
413,22.0
414,25.0
415,34.0
416,30.0
417,28.0
418,37.0
419,22.0
420,26.0
421,35.0
422,33.0
423,21.0
424,23.0
425,26.0
426,31.0
427,37.0
428,38.0
429,27.0
430,32.0
431,28.0
432,45.0
433,29.0
434,28.0
435,43.0
436,29.0
437,26.0
438,26.0
439,26.0
440,24.0
441,29.0
442,25.0
443,27.0
444,40.0
445,23.0
446,26.0
447,23.0
448,33.0
449,31.0
450,28.0
451,42.0
452,28.0
453,31.0
454,34.0
455,34.0
456,38.0
457,29.0
458,28.0
459,28.0
460,28.0
461,31.0
462,33.0
463,23.0
464,31.0
465,26.0
466,51.0
467,25.0
468,21.0
469,35.0
470,37.0
471,29.0
472,48.0
473,25.0
474,30.0
475,38.0
476,38.0
477,25.0
478,29.0
479,28.0
480,31.0
481,25.0
482,30.0
483,24.0
484,32.0
485,41.0
486,31.0
487,27.0
488,23.0
489,43.0
490,26.0
491,48.0
492,24.0
493,25.0
494,32.0
495,31.0
496,29.0
497,25.0
498,22.0
499,34.0
500,29.0
501,32.0
502,20.0
503,37.0
504,24.0
505,25.0
506,30.0
507,28.0
508,51.0
509,24.0
510,33.0
511,24.0
512,23.0
513,21.0
514,47.0
515,28.0
516,29.0
517,35.0
518,32.0
519,30.0
520,24.0
521,31.0
522,24.0
523,27.0
524,26.0
525,37.0
526,24.0
527,40.0
528,33.0
529,30.0
530,27.0
531,30.0
532,32.0
533,24.0
534,27.0
535,34.0
536,31.0
537,50.0
538,27.0
539,28.0
540,31.0
541,23.0
542,29.0
543,29.0
544,21.0
545,35.0
546,32.0
547,26.0
548,31.0
549,27.0
550,36.0
551,22.0
552,31.0
553,30.0
554,25.0
555,33.0
556,31.0
557,25.0
558,23.0
559,35.0
560,27.0
561,26.0
562,25.0
563,31.0
564,26.0
565,22.0
566,35.0
567,23.0
568,34.0
569,27.0
570,27.0
571,27.0
572,35.0
573,27.0
574,46.0
575,18.0
576,29.0
577,27.0
578,55.0
579,29.0
580,45.0
581,42.0
582,31.0
583,31.0
584,24.0
585,26.0
586,32.0
587,29.0
588,26.0
589,24.0
590,33.0
591,40.0
592,38.0
593,36.0
594,36.0
595,38.0
596,27.0
597,29.0
598,24.0
599,58.0
600,31.0
601,26.0
602,37.0
603,24.0
604,32.0
605,34.0
606,31.0
607,27.0
608,31.0
609,46.0
610,27.0
611,24.0
612,60.0
613,24.0
614,27.0
615,25.0
616,27.0
617,23.0
618,33.0
619,27.0
620,29.0
621,27.0
622,28.0
623,35.0
624,26.0
625,37.0
626,29.0
627,23.0
628,34.0
629,29.0
630,32.0
631,33.0
632,30.0
633,27.0
634,28.0
635,30.0
636,35.0
637,29.0
638,28.0
639,27.0
640,31.0
641,22.0
642,27.0
643,23.0
644,40.0
645,39.0
646,25.0
647,26.0
648,34.0
649,42.0
650,27.0
651,26.0
652,25.0
653,31.0
654,36.0
655,31.0
656,35.0
657,27.0
658,32.0
659,35.0
660,26.0
661,33.0
662,36.0
663,31.0
664,30.0
665,28.0
666,34.0
667,29.0
668,40.0
669,26.0
670,29.0
671,26.0
672,31.0
673,28.0
674,30.0
675,26.0
676,34.0
677,35.0
678,27.0
679,23.0
680,28.0
681,28.0
682,45.0
683,27.0
684,23.0
685,29.0
686,38.0
687,28.0
688,37.0
689,30.0
690,33.0
691,36.0
692,28.0
693,36.0
694,37.0
695,43.0
696,23.0
697,31.0
698,29.0
699,31.0
700,24.0
701,26.0
702,32.0
703,30.0
704,30.0
705,27.0
706,36.0
707,28.0
708,45.0
709,25.0
710,47.0
711,33.0
712,27.0
713,32.0
714,29.0
715,27.0
716,34.0
717,22.0
718,43.0
719,29.0
720,28.0
721,21.0
722,32.0
723,34.0
724,26.0
725,21.0
726,28.0
727,37.0
728,30.0
729,29.0
730,31.0
731,32.0
732,34.0
733,50.0
734,33.0
735,28.0
736,35.0
737,24.0
738,26.0
739,33.0
740,34.0
741,43.0
742,37.0
743,31.0
744,25.0
745,26.0
746,31.0
747,40.0
748,26.0
749,29.0
750,27.0
751,42.0
752,31.0
753,39.0
754,29.0
755,35.0
756,28.0
757,28.0
758,27.0
759,27.0
760,24.0
761,28.0
762,35.0
763,27.0
764,24.0
765,31.0
766,30.0
767,31.0
768,26.0
769,25.0
770,29.0
771,31.0
772,30.0
773,31.0
774,24.0
775,32.0
776,30.0
777,43.0
778,26.0
779,42.0
780,29.0
781,27.0
782,27.0
783,30.0
784,35.0
785,25.0
786,39.0
787,32.0
788,26.0
789,24.0
790,30.0
791,27.0
792,33.0
793,34.0
794,28.0
795,25.0
796,27.0
797,30.0
798,27.0
799,41.0
800,30.0
801,31.0
802,29.0
803,33.0
804,39.0
805,30.0
806,26.0
807,22.0
808,35.0
809,37.0
810,32.0
811,23.0
812,33.0
813,27.0
814,25.0
815,25.0
816,27.0
817,23.0
818,27.0
819,22.0
820,29.0
821,26.0
822,25.0
823,43.0
824,31.0
825,37.0
826,45.0
827,35.0
828,24.0
829,46.0
830,23.0
831,26.0
832,26.0
833,37.0
834,36.0
835,22.0
836,38.0
837,27.0
838,35.0
839,19.0
840,38.0
841,24.0
842,31.0
843,25.0
844,32.0
845,27.0
846,34.0
847,28.0
848,22.0
849,33.0
850,35.0
851,23.0
852,40.0
853,23.0
854,28.0
855,30.0
856,48.0
857,22.0
858,31.0
859,32.0
860,54.0
861,29.0
862,30.0
863,29.0
864,27.0
865,38.0
866,28.0
867,36.0
868,39.0
869,30.0
870,29.0
871,29.0
872,25.0
873,30.0
874,31.0
875,31.0
876,29.0
877,51.0
878,29.0
879,29.0
880,26.0
881,37.0
882,30.0
883,34.0
884,29.0
885,25.0
886,34.0
887,30.0
888,31.0
889,29.0
890,23.0
891,23.0
892,25.0
893,38.0
894,32.0
895,24.0
896,25.0
897,35.0
898,37.0
899,32.0
900,20.0
901,27.0
902,36.0
903,28.0
904,39.0
905,28.0
906,22.0
907,26.0
908,35.0
909,28.0
910,40.0
911,39.0
912,25.0
913,27.0
914,30.0
915,28.0
916,31.0
917,26.0
918,34.0
919,29.0
920,31.0
921,23.0
922,22.0
923,26.0
924,31.0
925,26.0
926,38.0
927,31.0
928,27.0
929,32.0
930,28.0
931,34.0
932,26.0
933,35.0
934,29.0
935,26.0
936,53.0
937,35.0
938,45.0
939,38.0
940,27.0
941,30.0
942,28.0
943,26.0
944,21.0
945,27.0
946,25.0
947,34.0
948,34.0
949,49.0
950,31.0
951,25.0
952,27.0
953,33.0
954,45.0
955,25.0
956,33.0
957,38.0
958,30.0
959,27.0
960,24.0
961,34.0
962,29.0
963,27.0
964,38.0
965,37.0
966,40.0
967,29.0
968,29.0
969,48.0
970,39.0
971,21.0
972,29.0
973,45.0
974,25.0
975,36.0
976,38.0
977,29.0
978,29.0
979,25.0
980,51.0
981,41.0
982,26.0
983,26.0
984,41.0
985,28.0
986,56.0
987,39.0
988,40.0
989,27.0
990,28.0
991,28.0
992,34.0
993,39.0
994,34.0
995,32.0
996,38.0
997,36.0
998,23.0
999,27.0
1000,32.0
1001,26.0
1002,29.0
1003,32.0
1004,43.0
1005,22.0
1006,22.0
1007,28.0
1008,25.0
1009,27.0
1010,50.0
1011,27.0
1012,25.0
1013,23.0
1014,24.0
1015,33.0
1016,35.0
1017,35.0
1018,33.0
1019,27.0
1020,26.0
1021,26.0
1022,32.0
1023,32.0
1024,25.0
1025,30.0
1026,40.0
1027,36.0
1028,33.0
1029,28.0
1030,30.0
1031,26.0
1032,36.0
1033,35.0
1034,48.0
1035,25.0
1036,25.0
1037,30.0
1038,38.0
1039,19.0
1040,27.0
1041,34.0
1042,44.0
1043,31.0
1044,24.0
1045,28.0
1046,35.0
1047,38.0
1048,28.0
1049,31.0
1050,45.0
1051,47.0
1052,19.0
1053,27.0
1054,33.0
1055,49.0
1056,28.0
1057,28.0
1058,29.0
1059,53.0
1060,49.0
1061,30.0
1062,23.0
1063,21.0
1064,28.0
1065,37.0
1066,24.0
1067,28.0
1068,36.0
1069,34.0
1070,32.0
1071,25.0
1072,27.0
1073,32.0
1074,32.0
1075,28.0
1076,25.0
1077,24.0
1078,25.0
1079,30.0
1080,20.0
1081,35.0
1082,24.0
1083,33.0
1084,33.0
1085,26.0
1086,32.0
1087,30.0
1088,27.0
1089,55.0
1090,57.0
1091,28.0
1092,37.0
1093,43.0
1094,31.0
1095,26.0
1096,34.0
1097,26.0
1098,28.0
1099,30.0
1100,22.0
1101,24.0
1102,39.0
1103,22.0
1104,28.0
1105,47.0
1106,36.0
1107,27.0
1108,30.0
1109,27.0
1110,25.0
1111,27.0
1112,29.0
1113,44.0
1114,31.0
1115,30.0
1116,27.0
1117,33.0
1118,44.0
1119,53.0
1120,25.0
1121,35.0
1122,25.0
1123,24.0
1124,26.0
1125,27.0
1126,25.0
1127,23.0
1128,25.0
1129,26.0
1130,27.0
1131,29.0
1132,48.0
1133,20.0
1134,31.0
1135,29.0
1136,31.0
1137,27.0
1138,34.0
1139,25.0
1140,32.0
1141,24.0
1142,29.0
1143,49.0
1144,25.0
1145,29.0
1146,24.0
1147,25.0
1148,44.0
1149,35.0
1150,21.0
1151,30.0
1152,31.0
1153,44.0
1154,32.0
1155,29.0
1156,28.0
1157,24.0
1158,31.0
1159,30.0
1160,38.0
1161,35.0
1162,25.0
1163,24.0
1164,26.0
1165,31.0
1166,25.0
1167,58.0
1168,36.0
1169,31.0
1170,26.0
1171,40.0
1172,24.0
1173,27.0
1174,35.0
1175,25.0
1176,31.0
1177,33.0
1178,33.0
1179,57.0
1180,25.0
1181,24.0
1182,44.0
1183,43.0
1184,29.0
1185,24.0
1186,27.0
1187,29.0
1188,23.0
1189,37.0
1190,28.0
1191,34.0
1192,26.0
1193,29.0
1194,30.0
1195,28.0
1196,22.0
1197,35.0
1198,33.0
1199,25.0
1200,25.0
1201,29.0
1202,34.0
1203,38.0
1204,37.0
1205,43.0
1206,27.0
1207,34.0
1208,34.0
1209,23.0
1210,25.0
1211,26.0
1212,27.0
1213,30.0
1214,24.0
1215,30.0
1216,31.0
1217,26.0
1218,33.0
1219,29.0
1220,27.0
1221,39.0
1222,52.0
1223,32.0
1224,33.0
1225,37.0
1226,54.0
1227,39.0
1228,35.0
1229,31.0
1230,29.0
1231,25.0
1232,29.0
1233,28.0
1234,33.0
1235,31.0
1236,24.0
1237,29.0
1238,34.0
1239,27.0
1240,36.0
1241,24.0
1242,26.0
1243,33.0
1244,34.0
1245,38.0
1246,26.0
1247,36.0
1248,30.0
1249,26.0
1250,30.0
1251,31.0
1252,25.0
1253,28.0
1254,29.0
1255,23.0
1256,33.0
1257,35.0
1258,56.0
1259,28.0
1260,27.0
1261,24.0
1262,40.0
1263,30.0
1264,38.0
1265,50.0
1266,47.0
1267,25.0
1268,36.0
1269,32.0
1270,37.0
1271,23.0
1272,28.0
1273,29.0
1274,28.0
1275,39.0
1276,33.0
1277,29.0
1278,30.0
1279,35.0
1280,34.0
1281,35.0
1282,24.0
1283,28.0
1284,43.0
1285,39.0
1286,26.0
1287,28.0
1288,36.0
1289,32.0
1290,25.0
1291,29.0
1292,32.0
1293,45.0
1294,31.0
1295,28.0
1296,32.0
1297,32.0
1298,23.0
1299,25.0
1300,35.0
1301,30.0
1302,25.0
1303,28.0
1304,47.0
1305,25.0
1306,32.0
1307,24.0
1308,30.0
1309,33.0
1310,25.0
1311,25.0
1312,35.0
1313,27.0
1314,28.0
1315,20.0
1316,29.0
1317,23.0
1318,29.0
1319,35.0
1320,28.0
1321,25.0
1322,33.0
1323,25.0
1324,33.0
1325,27.0
1326,30.0
1327,20.0
1328,27.0
1329,23.0
1330,27.0
1331,24.0
1332,52.0
1333,35.0
1334,28.0
1335,36.0
1336,27.0
1337,21.0
1338,32.0
1339,33.0
1340,24.0
1341,23.0
1342,31.0
1343,31.0
1344,35.0
1345,32.0
1346,28.0
1347,37.0
1348,24.0
1349,30.0
1350,54.0
1351,30.0
1352,35.0
1353,38.0
1354,22.0
1355,29.0
1356,30.0
1357,33.0
1358,37.0
1359,38.0
1360,22.0
1361,29.0
1362,32.0
1363,29.0
1364,28.0
1365,34.0
1366,29.0
1367,35.0
1368,21.0
1369,26.0
1370,25.0
1371,50.0
1372,28.0
1373,33.0
1374,38.0
1375,30.0
1376,32.0
1377,33.0
1378,27.0
1379,23.0
1380,50.0
1381,32.0
1382,26.0
1383,37.0
1384,29.0
1385,25.0
1386,24.0
1387,37.0
1388,45.0
1389,26.0
1390,21.0
1391,25.0
1392,32.0
1393,23.0
1394,46.0
1395,29.0
1396,28.0
1397,29.0
1398,22.0
1399,29.0
1400,35.0
1401,34.0
1402,23.0
1403,30.0
1404,30.0
1405,39.0
1406,30.0
1407,23.0
1408,29.0
1409,24.0
1410,30.0
1411,28.0
1412,28.0
1413,30.0
1414,21.0
1415,26.0
1416,23.0
1417,26.0
1418,29.0
1419,28.0
1420,29.0
1421,32.0
1422,47.0
1423,28.0
1424,50.0
1425,34.0
1426,24.0
1427,23.0
1428,35.0
1429,30.0
1430,29.0
1431,22.0
1432,24.0
1433,25.0
1434,50.0
1435,31.0
1436,23.0
1437,40.0
1438,33.0
1439,35.0
1440,32.0
1441,31.0
1442,23.0
1443,40.0
1444,33.0
1445,23.0
1446,27.0
1447,29.0
1448,24.0
1449,46.0
1450,28.0
1451,25.0
1452,48.0
1453,32.0
1454,33.0
1455,30.0
1456,32.0
1457,33.0
1458,22.0
1459,34.0
1460,23.0
1461,26.0
1462,26.0
1463,35.0
1464,24.0
1465,26.0
1466,31.0
1467,25.0
1468,26.0
1469,30.0
1470,28.0
1471,26.0
1472,20.0
1473,24.0
1474,27.0
1475,30.0
1476,30.0
1477,32.0
1478,36.0
1479,33.0
1480,30.0
1481,25.0
1482,26.0
1483,28.0
1484,34.0
1485,29.0
1486,37.0
1487,27.0
1488,45.0
1489,25.0
1490,25.0
1491,29.0
1492,31.0
1493,26.0
1494,24.0
1495,26.0
1496,55.0
1497,21.0
1498,24.0
1499,26.0
1500,30.0
1501,28.0
1502,28.0
1503,25.0
1504,24.0
1505,39.0
1506,31.0
1507,35.0
1508,29.0
1509,27.0
1510,29.0
1511,24.0
1512,29.0
1513,33.0
1514,22.0
1515,33.0
1516,26.0
1517,31.0
1518,30.0
1519,27.0
1520,24.0
1521,43.0
1522,59.0
1523,25.0
1524,27.0
1525,31.0
1526,32.0
1527,34.0
1528,40.0
1529,25.0
1530,37.0
1531,26.0
1532,30.0
1533,33.0
1534,35.0
1535,29.0
1536,26.0
1537,48.0
1538,30.0
1539,31.0
1540,24.0
1541,48.0
1542,34.0
1543,26.0
1544,41.0
1545,32.0
1546,19.0
1547,27.0
1548,32.0
1549,33.0
1550,34.0
1551,34.0
1552,25.0
1553,26.0
1554,25.0
1555,23.0
1556,45.0
1557,26.0
1558,32.0
1559,31.0
1560,44.0
1561,28.0
1562,30.0
1563,34.0
1564,35.0
1565,48.0
1566,26.0
1567,26.0
1568,30.0
1569,31.0
1570,29.0
1571,31.0
1572,30.0
1573,36.0
1574,26.0
1575,33.0
1576,25.0
1577,41.0
1578,26.0
1579,37.0
1580,28.0
1581,30.0
1582,26.0
1583,45.0
1584,24.0
1585,37.0
1586,37.0
1587,27.0
1588,41.0
1589,32.0
1590,28.0
1591,34.0
1592,34.0
1593,25.0
1594,35.0
1595,27.0
1596,29.0
1597,26.0
1598,34.0
1599,54.0
1600,44.0
1601,35.0
1602,29.0
1603,37.0
1604,22.0
1605,31.0
1606,27.0
1607,33.0
1608,25.0
1609,32.0
1610,37.0
1611,28.0
1612,29.0
1613,32.0
1614,31.0
1615,35.0
1616,31.0
1617,37.0
1618,28.0
1619,33.0
1620,27.0
1621,25.0
1622,35.0
1623,44.0
1624,23.0
1625,31.0
1626,36.0
1627,34.0
1628,36.0
1629,27.0
1630,23.0
1631,35.0
1632,32.0
1633,22.0
1634,35.0
1635,29.0
1636,25.0
1637,23.0
1638,26.0
1639,24.0
1640,31.0
1641,35.0
1642,25.0
1643,35.0
1644,31.0
1645,26.0
1646,38.0
1647,24.0
1648,22.0
1649,32.0
1650,28.0
1651,41.0
1652,32.0
1653,31.0
1654,30.0
1655,29.0
1656,30.0
1657,27.0
1658,26.0
1659,30.0
1660,25.0
1661,29.0
1662,26.0
1663,27.0
1664,30.0
1665,29.0
1666,26.0
1667,25.0
1668,34.0
1669,33.0
1670,25.0
1671,38.0
1672,31.0
1673,27.0
1674,23.0
1675,33.0
1676,33.0
1677,34.0
1678,30.0
1679,25.0
1680,28.0
1681,30.0
1682,33.0
1683,29.0
1684,36.0
1685,29.0
1686,39.0
1687,37.0
1688,27.0
1689,28.0
1690,30.0
1691,31.0
1692,43.0
1693,34.0
1694,42.0
1695,25.0
1696,28.0
1697,40.0
1698,27.0
1699,29.0
1700,30.0
1701,34.0
1702,22.0
1703,30.0
1704,35.0
1705,35.0
1706,46.0
1707,28.0
1708,51.0
1709,25.0
1710,25.0
1711,24.0
1712,64.0
1713,31.0
1714,25.0
1715,27.0
1716,38.0
1717,27.0
1718,25.0
1719,38.0
1720,21.0
1721,24.0
1722,39.0
1723,38.0
1724,23.0
1725,37.0
1726,32.0
1727,53.0
1728,25.0
1729,27.0
1730,25.0
1731,22.0
1732,28.0
1733,32.0
1734,29.0
1735,27.0
1736,24.0
1737,23.0
1738,43.0
1739,27.0
1740,28.0
1741,22.0
1742,32.0
1743,27.0
1744,32.0
1745,33.0
1746,45.0
1747,23.0
1748,31.0
1749,31.0
1750,24.0
1751,30.0
1752,33.0
1753,48.0
1754,32.0
1755,26.0
1756,35.0
1757,30.0
1758,33.0
1759,32.0
1760,20.0
1761,24.0
1762,27.0
1763,29.0
1764,47.0
1765,35.0
1766,26.0
1767,22.0
1768,36.0
1769,27.0
1770,27.0
1771,28.0
1772,44.0
1773,50.0
1774,42.0
1775,36.0
1776,28.0
1777,41.0
1778,48.0
1779,33.0
1780,27.0
1781,26.0
1782,25.0
1783,30.0
1784,29.0
1785,40.0
1786,29.0
1787,23.0
1788,33.0
1789,28.0
1790,45.0
1791,31.0
1792,44.0
1793,25.0
1794,23.0
1795,27.0
1796,25.0
1797,26.0
1798,24.0
1799,35.0
1800,39.0
1801,49.0
1802,31.0
1803,34.0
1804,29.0
1805,23.0
1806,31.0
1807,32.0
1808,32.0
1809,40.0
1810,30.0
1811,26.0
1812,53.0
1813,33.0
1814,31.0
1815,39.0
1816,33.0
1817,29.0
1818,33.0
1819,24.0
1820,31.0
1821,28.0
1822,35.0
1823,27.0
1824,27.0
1825,25.0
1826,25.0
1827,25.0
1828,28.0
1829,26.0
1830,27.0
1831,32.0
1832,32.0
1833,31.0
1834,35.0
1835,26.0
1836,28.0
1837,55.0
1838,30.0
1839,32.0
1840,25.0
1841,24.0
1842,51.0
1843,25.0
1844,27.0
1845,33.0
1846,27.0
1847,34.0
1848,26.0
1849,27.0
1850,30.0
1851,28.0
1852,30.0
1853,33.0
1854,26.0
1855,27.0
1856,37.0
1857,45.0
1858,31.0
1859,37.0
1860,27.0
1861,23.0
1862,23.0
1863,31.0
1864,29.0
1865,32.0
1866,35.0
1867,36.0
1868,24.0
1869,34.0
1870,34.0
1871,22.0
1872,31.0
1873,27.0
1874,25.0
1875,30.0
1876,25.0
1877,23.0
1878,36.0
1879,26.0
1880,32.0
1881,26.0
1882,35.0
1883,27.0
1884,30.0
1885,31.0
1886,26.0
1887,29.0
1888,25.0
1889,24.0
1890,32.0
1891,28.0
1892,26.0
1893,38.0
1894,43.0
1895,39.0
1896,25.0
1897,25.0
1898,30.0
1899,26.0
1900,33.0
1901,33.0
1902,29.0
1903,32.0
1904,34.0
1905,33.0
1906,26.0
1907,36.0
1908,29.0
1909,37.0
1910,32.0
1911,24.0
1912,29.0
1913,24.0
1914,29.0
1915,27.0
1916,25.0
1917,21.0
1918,21.0
1919,25.0
1920,23.0
1921,21.0
1922,39.0
1923,27.0
1924,27.0
1925,41.0
1926,26.0
1927,35.0
1928,29.0
1929,33.0
1930,29.0
1931,36.0
1932,28.0
1933,24.0
1934,30.0
1935,30.0
1936,37.0
1937,26.0
1938,34.0
1939,25.0
1940,26.0
1941,27.0
1942,33.0
1943,33.0
1944,59.0
1945,35.0
1946,33.0
1947,29.0
1948,41.0
1949,29.0
1950,29.0
1951,24.0
1952,24.0
1953,52.0
1954,39.0
1955,35.0
1956,28.0
1957,31.0
1958,30.0
1959,32.0
1960,25.0
1961,26.0
1962,32.0
1963,26.0
1964,29.0
1965,31.0
1966,32.0
1967,36.0
1968,31.0
1969,28.0
1970,38.0
1971,38.0
1972,29.0
1973,44.0
1974,24.0
1975,56.0
1976,26.0
1977,28.0
1978,31.0
1979,26.0
1980,35.0
1981,28.0
1982,33.0
1983,30.0
1984,33.0
1985,27.0
1986,32.0
1987,24.0
1988,33.0
1989,54.0
1990,59.0
1991,29.0
1992,27.0
1993,38.0
1994,29.0
1995,29.0
1996,23.0
1997,35.0
1998,23.0
1999,25.0
2000,25.0
2001,31.0
2002,23.0
2003,29.0
2004,29.0
2005,36.0
2006,32.0
2007,27.0
2008,29.0
2009,40.0
2010,33.0
2011,27.0
2012,33.0
2013,27.0
2014,21.0
2015,43.0
2016,26.0
2017,41.0
2018,24.0
2019,28.0
2020,26.0
2021,29.0
2022,26.0
2023,35.0
2024,31.0
2025,37.0
2026,33.0
2027,39.0
2028,24.0
2029,26.0
2030,33.0
2031,23.0
2032,35.0
2033,29.0
2034,26.0
2035,30.0
2036,24.0
2037,27.0
2038,29.0
2039,50.0
2040,39.0
2041,26.0
2042,50.0
2043,25.0
2044,29.0
2045,24.0
2046,29.0
2047,32.0
2048,26.0
2049,22.0
2050,23.0
2051,30.0
2052,51.0
2053,31.0
2054,26.0
2055,34.0
2056,31.0
2057,32.0
2058,53.0
2059,28.0
2060,35.0
2061,30.0
2062,32.0
2063,27.0
2064,31.0
2065,27.0
2066,30.0
2067,27.0
2068,26.0
2069,39.0
2070,30.0
2071,25.0
2072,29.0
2073,32.0
2074,23.0
2075,27.0
2076,28.0
2077,37.0
2078,25.0
2079,29.0
2080,30.0
2081,22.0
2082,26.0
2083,30.0
2084,26.0
2085,30.0
2086,37.0
2087,22.0
2088,20.0
2089,26.0
2090,31.0
2091,24.0
2092,31.0
2093,29.0
2094,22.0
2095,28.0
2096,50.0
2097,28.0
2098,29.0
2099,27.0
2100,23.0
2101,22.0
2102,32.0
2103,31.0
2104,32.0
2105,27.0
2106,28.0
2107,30.0
2108,29.0
2109,27.0
2110,25.0
2111,28.0
2112,33.0
2113,28.0
2114,28.0
2115,28.0
2116,24.0
2117,26.0
2118,36.0
2119,35.0
2120,29.0
2121,54.0
2122,25.0
2123,24.0
2124,31.0
2125,25.0
2126,25.0
2127,26.0
2128,32.0
2129,48.0
2130,25.0
2131,23.0
2132,32.0
2133,29.0
2134,33.0
2135,35.0
2136,24.0
2137,39.0
2138,28.0
2139,34.0
2140,29.0
