,Monthly_Income
657,18500.0
658,17000.0
659,62000.0
660,17000.0
661,70000.0
662,20000.0
663,50000.0
664,95000.0
665,26500.0
666,10200.0
667,25000.0
668,21000.0
669,17000.0
670,33000.0
671,10000.0
672,22500.0
673,40000.0
674,48500.0
675,13660.0
676,10000.0
677,68000.0
678,20000.0
679,15000.0
680,25000.0
681,26000.0
682,8000.0
683,32000.0
684,18000.0
685,56000.0
686,60000.0
687,22000.0
688,58000.0
689,55500.0
690,24000.0
691,95000.0
692,61000.0
693,21000.0
694,49500.0
695,15000.0
696,30000.0
697,25600.0
698,20000.0
699,33700.0
700,16000.0
701,17000.0
702,41667.0
703,31000.0
704,16000.0
705,34000.0
706,28093.0
707,40000.0
708,33000.0
709,17100.0
710,75000.0
711,8000.0
712,26300.0
713,20000.0
714,36000.0
715,21000.0
716,35000.0
717,25000.0
718,18000.0
719,28000.0
720,15000.0
721,30000.0
722,27192.0
723,85000.0
724,28000.0
725,19367.0
726,10725.0
727,32000.0
728,10000.0
729,25000.0
730,25000.0
731,42000.0
732,35000.0
733,47450.0
734,60000.0
735,40000.0
736,21500.0
737,31000.0
738,21000.0
739,38000.0
740,37600.0
741,25000.0
742,40000.0
743,15000.0
744,18000.0
745,26000.0
746,27000.0
747,30000.0
748,10000.0
749,30000.0
750,25000.0
751,44000.0
752,32000.0
753,21000.0
754,29500.0
755,33244.0
756,95000.0
757,30000.0
758,8000.0
759,60500.0
760,13000.0
761,18000.0
762,50000.0
763,40000.0
764,19000.0
765,22000.0
766,10000.0
767,10000.0
768,3500.0
769,22000.0
770,34800.0
771,34000.0
772,21000.0
773,22250.0
774,20000.0
775,45000.0
776,12500.0
777,11000.0
778,50000.0
779,10000.0
780,30520.0
781,27000.0
782,18500.0
783,50000.0
784,95000.0
785,29000.0
786,54000.0
787,10200.0
788,18000.0
789,21000.0
790,40000.0
791,95000.0
792,55000.0
793,25000.0
794,20000.0
795,21000.0
796,23400.0
797,17369.0
798,20050.0
799,21000.0
800,12000.0
801,60000.0
802,31190.0
803,35000.0
804,18000.0
805,68000.0
806,21800.0
807,15000.0
808,41000.0
809,35000.0
810,43000.0
811,12000.0
812,44000.0
813,28000.0
814,18000.0
815,16000.0
816,23000.0
817,15200.0
818,25000.0
819,26225.0
820,25000.0
821,22000.0
822,20000.0
823,50000.0
824,29000.0
825,25000.0
826,41667.0
827,20000.0
828,50000.0
829,30000.0
830,20000.0
831,27000.0
832,15000.0
833,11000.0
834,40000.0
835,15000.0
836,72493.0
837,15000.0
838,18000.0
839,12000.0
840,25000.0
841,7586.0
842,25762.0
843,25200.0
844,32000.0
845,15000.0
846,10000.0
847,37000.0
848,8500.0
849,53000.0
850,27200.0
851,20000.0
852,19500.0
853,12000.0
854,35000.0
855,16500.0
856,20325.0
857,8000.0
858,95000.0
859,62000.0
860,44000.0
861,21000.0
862,25000.0
863,42000.0
864,7800.0
865,40000.0
866,25000.0
867,15500.0
868,7000.0
869,32000.0
870,15000.0
871,17000.0
872,19000.0
873,24000.0
874,20000.0
875,65000.0
876,13500.0
877,95000.0
878,25000.0
879,22600.0
880,7000.0
881,12200.0
882,35800.0
883,95000.0
884,35000.0
885,10500.0
886,23000.0
887,40000.0
888,33000.0
889,29000.0
890,17000.0
891,25000.0
892,28000.0
893,43000.0
894,22000.0
895,25000.0
896,15000.0
897,2000.0
898,27000.0
899,16720.0
900,21000.0
901,60000.0
902,95000.0
903,64000.0
904,20000.0
905,10000.0
906,12000.0
907,25000.0
908,15000.0
909,44450.0
910,19000.0
911,46000.0
912,20000.0
913,18800.0
914,13000.0
915,19800.0
916,14000.0
917,44000.0
918,50000.0
919,60000.0
920,27000.0
921,25000.0
922,15000.0
923,32000.0
924,21000.0
925,15000.0
926,25000.0
927,7816.0
928,18000.0
929,13000.0
930,25000.0
931,52000.0
932,48000.0
933,13000.0
934,25000.0
935,25500.0
936,49000.0
937,22000.0
938,26500.0
939,95000.0
940,21000.0
941,14377.0
942,20000.0
943,8500.0
944,20000.0
945,95000.0
946,17000.0
947,40000.0
948,43200.0
949,15000.0
950,26000.0
951,15000.0
952,22500.0
953,38300.0
954,36000.0
955,10000.0
956,54000.0
957,90000.0
958,15000.0
959,18000.0
960,15500.0
961,58333.0
962,11000.0
963,23000.0
964,31000.0
965,17050.0
966,16000.0
967,19258.0
968,15000.0
969,19000.0
970,60000.0
971,5000.0
972,17500.0
973,25000.0
974,23600.0
975,34256.0
976,15000.0
977,15000.0
978,25000.0
979,22000.0
980,25000.0
981,23300.0
982,50000.0
983,20000.0
984,69500.0
985,18000.0
986,95000.0
987,50500.0
988,18000.0
989,10000.0
990,12500.0
991,50000.0
992,32000.0
993,9000.0
994,15000.0
995,48000.0
996,25000.0
997,10000.0
998,95000.0
999,95000.0
1000,36000.0
1001,16800.0
1002,40000.0
1003,51000.0
1004,95000.0
1005,11000.0
1006,25000.0
1007,43000.0
1008,12400.0
1009,14636.0
1010,40000.0
1011,22000.0
1012,20000.0
1013,17000.0
1014,11450.0
1015,10000.0
1016,32000.0
1017,17500.0
1018,25000.0
1019,10000.0
1020,20000.0
1021,8000.0
1022,24000.0
1023,95000.0
1024,18168.0
1025,23000.0
1026,75000.0
1027,21264.0
1028,65000.0
1029,12000.0
1030,54000.0
1031,65338.0
1032,15000.0
1033,40000.0
1034,50000.0
1035,18720.0
1036,17168.0
1037,95000.0
1038,45000.0
1039,15000.0
1040,55000.0
1041,25000.0
1042,40000.0
1043,17000.0
1044,30000.0
1045,65000.0
1046,10000.0
1047,95000.0
1048,23500.0
1049,11264.0
1050,95000.0
1051,41667.0
1052,13000.0
1053,95000.0
1054,20000.0
1055,22000.0
1056,21950.0
1057,24000.0
1058,20000.0
1059,21000.0
1060,95000.0
1061,13800.0
1062,10000.0
1063,10000.0
1064,12200.0
1065,18000.0
1066,29800.0
1067,25000.0
1068,27000.0
1069,95000.0
1070,26000.0
1071,20000.0
1072,24300.0
1073,21900.0
1074,31000.0
1075,32500.0
1076,18500.0
1077,20080.0
1078,12000.0
1079,20000.0
1080,20101.0
1081,95000.0
1082,36165.0
1083,39000.0
1084,12923.0
1085,15000.0
1086,50000.0
1087,45000.0
1088,54800.0
1089,95000.0
1090,48000.0
1091,20000.0
1092,57000.0
1093,28.0
1094,27688.0
1095,27488.0
1096,17000.0
1097,30000.0
1098,15000.0
1099,50000.0
1100,17500.0
1101,16000.0
1102,30000.0
1103,8000.0
1104,41000.0
1105,53500.0
1106,50000.0
1107,20000.0
1108,20000.0
1109,25000.0
1110,27000.0
1111,43500.0
1112,21000.0
1113,18600.0
1114,31223.0
1115,30000.0
1116,12500.0
1117,17800.0
1118,51000.0
1119,22200.0
1120,29000.0
1121,76000.0
1122,44358.0
1123,41667.0
1124,16300.0
1125,22000.0
1126,14000.0
1127,25000.0
1128,25000.0
1129,15000.0
1130,17000.0
1131,20000.0
1132,14000.0
1133,13000.0
1134,10000.0
1135,95000.0
1136,29387.0
1137,13000.0
1138,12000.0
1139,16000.0
1140,41667.0
1141,19000.0
1142,13500.0
1143,20000.0
1144,17400.0
1145,30980.0
1146,28000.0
1147,23000.0
1148,75000.0
1149,95000.0
1150,45000.0
1151,95000.0
1152,22500.0
1153,30000.0
1154,51000.0
1155,25700.0
1156,80000.0
1157,10500.0
1158,50000.0
1159,50000.0
1160,95000.0
1161,15500.0
1162,7500.0
1163,18000.0
1164,70000.0
1165,17920.0
1166,12000.0
1167,47000.0
1168,25000.0
1169,38500.0
1170,35000.0
1171,40000.0
1172,35000.0
1173,42000.0
1174,20000.0
1175,32000.0
1176,48700.0
1177,60000.0
1178,17565.0
1179,25500.0
1180,15000.0
1181,95000.0
1182,95000.0
1183,11345.0
1184,15000.0
1185,26000.0
1186,21477.0
1187,19200.0
1188,12000.0
1189,61000.0
1190,22000.0
1191,30000.0
1192,44000.0
1193,24000.0
1194,35000.0
1195,40000.0
1196,15000.0
1197,21692.0
1198,70000.0
1199,14000.0
1200,70000.0
1201,1500.0
1202,47000.0
1203,22000.0
1204,24794.0
1205,17500.0
1206,20000.0
1207,41667.0
1208,34500.0
1209,26500.0
1210,20000.0
1211,39666.0
1212,24000.0
1213,27000.0
1214,20000.0
1215,12000.0
1216,18616.0
1217,23100.0
1218,38000.0
1219,40000.0
1220,15100.0
1221,20000.0
1222,83333.0
1223,73000.0
1224,45496.0
1225,50000.0
1226,15089.0
1227,20000.0
1228,9000.0
1229,42500.0
1230,30000.0
1231,22000.0
1232,16000.0
1233,14000.0
1234,32000.0
1235,40000.0
1236,9600.0
1237,38250.0
1238,45000.0
1239,95000.0
1240,12000.0
1241,18000.0
1242,20000.0
1243,42000.0
1244,90000.0
1245,25000.0
1246,22000.0
1247,60000.0
1248,34000.0
1249,17800.0
1250,30000.0
1251,30750.0
1252,50000.0
1253,14000.0
1254,36000.0
1255,30000.0
1256,69000.0
1257,25000.0
1258,45000.0
1259,76000.0
1260,52000.0
1261,15000.0
1262,60000.0
1263,25000.0
1264,18000.0
1265,25000.0
1266,95000.0
1267,30000.0
1268,33000.0
1269,32500.0
1270,13000.0
1271,11000.0
1272,28000.0
1273,95000.0
1274,35000.0
1275,8000.0
1276,16798.0
1277,30000.0
1278,15000.0
1279,50000.0
1280,47000.0
1281,25000.0
1282,7000.0
1283,16000.0
1284,95000.0
1285,53000.0
1286,16000.0
1287,16500.0
1288,39400.0
1289,15000.0
1290,17500.0
1291,68000.0
1292,50000.0
1293,50000.0
1294,12000.0
1295,76000.0
1296,38000.0
1297,75000.0
1298,11500.0
1299,25000.0
1300,33000.0
1301,23000.0
1302,16000.0
1303,25000.0
1304,14000.0
1305,20000.0
1306,19800.0
1307,20000.0
1308,44000.0
1309,45000.0
1310,25000.0
1311,24768.0
1312,27000.0
1313,22000.0
1314,30000.0
1315,12000.0
1316,18300.0
1317,26160.0
1318,22000.0
1319,40000.0
1320,15400.0
1321,10700.0
1322,20000.0
1323,30000.0
1324,27000.0
1325,13500.0
1326,12000.0
1327,14000.0
1328,65000.0
1329,26500.0
1330,32000.0
1331,22500.0
1332,20000.0
1333,95000.0
1334,37000.0
1335,50000.0
1336,19000.0
1337,14000.0
1338,15600.0
1339,65000.0
1340,15000.0
1341,20000.0
1342,18400.0
1343,15000.0
1344,21000.0
1345,44000.0
1346,24000.0
1347,30700.0
1348,15000.0
1349,40000.0
1350,58333.0
1351,52000.0
1352,15800.0
1353,29000.0
1354,10000.0
1355,50000.0
1356,26700.0
1357,16750.0
1358,33500.0
1359,25000.0
1360,10000.0
1361,17000.0
1362,50000.0
1363,15300.0
1364,37000.0
1365,22000.0
1366,20000.0
1367,24500.0
1368,9200.0
1369,30000.0
1370,12500.0
1371,30550.0
1372,30000.0
1373,16000.0
1374,25000.0
1375,15000.0
1376,40000.0
1377,45000.0
1378,14000.0
1379,12000.0
1380,24000.0
1381,32000.0
1382,9110.0
1383,58000.0
1384,20000.0
1385,30000.0
1386,30000.0
1387,15000.0
1388,32200.0
1389,20000.0
1390,2000.0
1391,15000.0
1392,30000.0
1393,24000.0
1394,41667.0
1395,58333.0
1396,28000.0
1397,12000.0
1398,10000.0
1399,15000.0
1400,12000.0
1401,14000.0
1402,21000.0
1403,27000.0
1404,68600.0
1405,12000.0
1406,55000.0
1407,17500.0
1408,15600.0
1409,24000.0
1410,23700.0
1411,18550.0
1412,24500.0
1413,25000.0
1414,14000.0
1415,12000.0
1416,24000.0
1417,22200.0
1418,47217.0
1419,28000.0
1420,18300.0
1421,16452.0
1422,40000.0
1423,20300.0
1424,90000.0
1425,0.0
1426,11000.0
1427,16066.0
1428,20000.0
1429,10500.0
1430,16900.0
1431,26000.0
1432,18188.0
1433,17000.0
1434,35000.0
1435,14000.0
1436,18500.0
1437,33000.0
1438,93000.0
1439,24000.0
1440,51000.0
1441,95000.0
1442,10000.0
1443,10000.0
1444,95000.0
1445,35000.0
1446,28000.0
1447,60000.0
1448,30000.0
1449,95000.0
1450,28200.0
1451,25000.0
1452,48000.0
1453,65000.0
1454,80000.0
1455,15000.0
1456,32000.0
1457,18200.0
1458,17000.0
1459,90000.0
1460,25000.0
1461,32800.0
1462,31500.0
1463,20000.0
1464,60000.0
1465,22000.0
1466,95000.0
1467,12000.0
1468,25000.0
1469,90000.0
1470,28000.0
1471,25000.0
1472,15500.0
1473,20000.0
1474,22000.0
1475,14000.0
1476,13000.0
1477,36000.0
1478,15000.0
1479,25000.0
1480,95000.0
1481,36000.0
1482,25000.0
1483,52000.0
1484,13500.0
1485,52000.0
1486,95000.0
1487,40000.0
1488,50000.0
1489,22000.0
1490,21900.0
1491,35000.0
1492,27825.0
1493,20000.0
1494,20000.0
1495,15000.0
1496,30000.0
1497,12000.0
1498,17000.0
1499,55000.0
1500,64950.0
1501,95000.0
1502,17000.0
1503,18000.0
1504,37000.0
1505,25000.0
1506,24200.0
1507,8000.0
1508,30500.0
1509,24258.0
1510,25000.0
1511,28500.0
1512,24000.0
1513,22000.0
1514,24000.0
1515,84500.0
1516,32000.0
1517,53000.0
1518,37800.0
1519,40425.0
1520,32300.0
1521,60000.0
1522,23000.0
1523,18000.0
1524,15000.0
1525,38000.0
1526,42000.0
1527,50000.0
1528,95000.0
1529,12800.0
1530,50500.0
1531,12500.0
1532,25000.0
1533,37500.0
1534,95000.0
1535,30000.0
1536,20000.0
1537,27000.0
1538,38700.0
1539,45000.0
1540,20000.0
1541,0.0
1542,15000.0
1543,15000.0
1544,45000.0
1545,54000.0
1546,20000.0
1547,21124.0
1548,30000.0
1549,21000.0
1550,20000.0
1551,54000.0
1552,50000.0
1553,16005.0
1554,10000.0
1555,13000.0
1556,16000.0
1557,19000.0
1558,33000.0
1559,25000.0
1560,20000.0
1561,17000.0
1562,77000.0
1563,35000.0
1564,30000.0
1565,15530.0
1566,53000.0
1567,13000.0
1568,50000.0
1569,62000.0
1570,18600.0
1571,22253.0
1572,50000.0
1573,20000.0
1574,25000.0
1575,17300.0
1576,12000.0
1577,17600.0
1578,18880.0
1579,40000.0
1580,17000.0
1581,16100.0
1582,28000.0
1583,35000.0
1584,15000.0
1585,25000.0
1586,21500.0
1587,80000.0
1588,85000.0
1589,17000.0
1590,70000.0
1591,52000.0
1592,25000.0
1593,12000.0
1594,10000.0
1595,25000.0
1596,10000.0
1597,95000.0
1598,41667.0
1599,42000.0
1600,50000.0
1601,29000.0
1602,5000.0
1603,40000.0
1604,14500.0
1605,40000.0
1606,12500.0
1607,20000.0
1608,20318.0
1609,15000.0
1610,42000.0
1611,56000.0
1612,59000.0
1613,22000.0
1614,20000.0
1615,95000.0
1616,25600.0
1617,25000.0
1618,35000.0
1619,15200.0
1620,48000.0
1621,18598.0
1622,17500.0
1623,60000.0
1624,12000.0
1625,24400.0
1626,10700.0
1627,26150.0
1628,19000.0
1629,18000.0
1630,23000.0
1631,38000.0
1632,37000.0
1633,15000.0
1634,60000.0
1635,19000.0
1636,14500.0
1637,17400.0
1638,52000.0
1639,23000.0
1640,95000.0
1641,30000.0
1642,20000.0
1643,20000.0
1644,29000.0
1645,25000.0
1646,30000.0
1647,31000.0
1648,50000.0
1649,17200.0
1650,10700.0
1651,95000.0
1652,20000.0
1653,16272.0
1654,25000.0
1655,16000.0
1656,50000.0
1657,20000.0
1658,35000.0
1659,95000.0
1660,41500.0
1661,26000.0
1662,12000.0
1663,95000.0
1664,69000.0
1665,16000.0
1666,20750.0
1667,15000.0
1668,22900.0
1669,23000.0
1670,10500.0
1671,60000.0
1672,16000.0
1673,20000.0
1674,16000.0
1675,40000.0
1676,75000.0
1677,0.0
1678,20000.0
1679,12500.0
1680,32000.0
1681,95000.0
1682,25000.0
1683,10000.0
1684,24000.0
1685,40500.0
1686,90000.0
1687,17000.0
1688,44000.0
1689,15500.0
1690,80000.0
1691,35000.0
1692,40000.0
1693,20000.0
1694,15646.0
1695,14800.0
1696,34000.0
1697,35000.0
1698,26000.0
1699,35000.0
1700,22500.0
1701,41000.0
1702,12000.0
1703,30000.0
1704,95000.0
1705,32000.0
1706,50000.0
1707,40000.0
1708,12000.0
1709,15300.0
1710,24000.0
1711,28400.0
1712,58333.0
1713,31000.0
1714,11900.0
1715,7000.0
1716,32000.0
1717,50000.0
1718,20000.0
1719,27000.0
1720,15000.0
1721,10000.0
1722,47000.0
1723,15000.0
1724,30000.0
1725,25000.0
1726,32000.0
1727,30000.0
1728,29312.0
1729,12000.0
1730,25000.0
1731,20000.0
1732,20000.0
1733,57000.0
1734,21735.0
1735,20000.0
1736,18500.0
1737,22000.0
1738,16000.0
1739,16000.0
1740,18000.0
1741,8000.0
1742,65000.0
1743,20000.0
1744,15000.0
1745,15000.0
1746,21000.0
1747,11000.0
1748,56000.0
1749,29300.0
1750,25000.0
1751,32000.0
1752,41000.0
1753,34430.0
1754,35000.0
1755,30000.0
1756,40500.0
1757,25000.0
1758,95000.0
1759,25000.0
1760,13000.0
1761,23000.0
1762,48000.0
1763,22000.0
1764,40000.0
1765,24875.0
1766,52500.0
1767,30000.0
1768,18000.0
1769,25500.0
1770,15000.0
1771,23000.0
1772,53000.0
1773,35000.0
1774,20220.0
1775,30800.0
1776,48000.0
1777,23000.0
1778,80000.0
1779,15500.0
1780,40000.0
1781,13000.0
1782,27000.0
1783,51500.0
1784,22474.0
1785,20000.0
1786,34000.0
1787,18900.0
1788,17000.0
1789,33534.0
1790,41667.0
1791,27600.0
1792,17400.0
1793,40000.0
1794,24000.0
1795,95000.0
1796,51000.0
1797,20000.0
1798,44000.0
1799,50000.0
1800,40000.0
1801,95000.0
1802,12500.0
1803,19000.0
1804,21000.0
1805,10000.0
1806,30000.0
1807,65000.0
1808,9442.0
1809,35000.0
1810,54000.0
1811,10000.0
1812,95000.0
1813,45729.0
1814,19000.0
1815,32574.0
1816,71000.0
1817,15000.0
1818,18000.0
1819,10000.0
1820,35000.0
1821,57000.0
1822,10000.0
1823,16000.0
1824,25000.0
1825,17000.0
1826,20000.0
1827,20500.0
1828,11142.0
1829,19000.0
1830,25000.0
1831,12400.0
1832,41667.0
1833,33000.0
1834,14500.0
1835,40000.0
1836,22000.0
1837,13800.0
1838,56000.0
1839,35000.0
1840,10000.0
1841,18000.0
1842,27000.0
1843,35000.0
1844,20000.0
1845,16200.0
1846,15500.0
1847,54000.0
1848,18500.0
1849,50000.0
1850,41000.0
1851,50000.0
1852,11500.0
1853,18000.0
1854,20000.0
1855,95000.0
1856,30000.0
1857,14000.0
1858,35000.0
1859,18000.0
1860,95000.0
1861,18000.0
1862,12500.0
1863,76766.0
1864,36000.0
1865,83000.0
1866,95000.0
1867,43000.0
1868,8000.0
1869,32000.0
1870,15000.0
1871,12229.0
1872,87300.0
